gp_code,gp_name,assigned_block_name,assigned_block_lgd,district_name,state_name
186444,NAZRE K.,PURANDAR,4522,Pune,MAHARASHTRA
186430,KOLVIHIRE,PURANDAR,4522,Pune,MAHARASHTRA
186409,DHALEWADI,PURANDAR,4522,Pune,MAHARASHTRA
186466,SAKURDE,PURANDAR,4522,Pune,MAHARASHTRA
186451,PARINCHE,PURANDAR,4522,Pune,MAHARASHTRA
186445,NILUNJ,PURANDAR,4522,Pune,MAHARASHTRA
186481,VALUNJ,PURANDAR,4522,Pune,MAHARASHTRA
186398,BELSAR,PURANDAR,4522,Pune,MAHARASHTRA
186450,PARGOAN,PURANDAR,4522,Pune,MAHARASHTRA
186426,KHANWADI,PURANDAR,4522,Pune,MAHARASHTRA
186469,SINGAPUR,PURANDAR,4522,Pune,MAHARASHTRA
185786,VALTI,HAVELI,4515,Pune,MAHARASHTRA
186479,VAGHAPUR,PURANDAR,4522,Pune,MAHARASHTRA
186461,RAJEWADI,PURANDAR,4522,Pune,MAHARASHTRA
186473,TEKAWADI,PURANDAR,4522,Pune,MAHARASHTRA
186394,AMBLE,PURANDAR,4522,Pune,MAHARASHTRA
185625,DALIMB,DAUND,4514,Pune,MAHARASHTRA
185684,TAMHANWADI,DAUND,4514,Pune,MAHARASHTRA
185619,BORIENDI,DAUND,4514,Pune,MAHARASHTRA
185680,SAHAJPUR,DAUND,4514,Pune,MAHARASHTRA
185621,BORIBHADAK,DAUND,4514,Pune,MAHARASHTRA
185778,URULIKANCHAN,HAVELI,4515,Pune,MAHARASHTRA
185768,SHINDAVANE,HAVELI,4515,Pune,MAHARASHTRA
185736,KOREGAON MUL,HAVELI,4515,Pune,MAHARASHTRA
185709,BIVARI,HAVELI,4515,Pune,MAHARASHTRA
185702,ASHTAPUR,HAVELI,4515,Pune,MAHARASHTRA
185707,BHAVARAPUR,HAVELI,4515,Pune,MAHARASHTRA
298904,TILEKARWADI,HAVELI,4515,Pune,MAHARASHTRA
185729,KHAMGAONTEK,HAVELI,4515,Pune,MAHARASHTRA
185662,NANDUR,DAUND,4514,Pune,MAHARASHTRA
185624,DAHITNE,DAUND,4514,Pune,MAHARASHTRA
185660,MIRWADI,DAUND,4514,Pune,MAHARASHTRA
185721,HINGANGAON,HAVELI,4515,Pune,MAHARASHTRA
185767,SHINDEWADI,HAVELI,4515,Pune,MAHARASHTRA
185629,DEVKARWADI,DAUND,4514,Pune,MAHARASHTRA
185764,SANGVI SANDAS,HAVELI,4515,Pune,MAHARASHTRA
185753,NHAVI SANDAS,HAVELI,4515,Pune,MAHARASHTRA
186500,DHANORE,SHIRUR,4523,Pune,MAHARASHTRA
185769,SHIRSAVADI,HAVELI,4515,Pune,MAHARASHTRA
185759,PIMPRISANDAS,HAVELI,4515,Pune,MAHARASHTRA
185710,BURKEGAON,HAVELI,4515,Pune,MAHARASHTRA
186498,DAREKARWADI,SHIRUR,4523,Pune,MAHARASHTRA
186554,SANASWADI,SHIRUR,4523,Pune,MAHARASHTRA
186512,JETEGAON KH.,SHIRUR,4523,Pune,MAHARASHTRA
186535,MUKHAI,SHIRUR,4523,Pune,MAHARASHTRA
186511,JATEGAON BK.,SHIRUR,4523,Pune,MAHARASHTRA
186557,SHIKRAPUR,SHIRUR,4523,Pune,MAHARASHTRA
186520,KASARI,SHIRUR,4523,Pune,MAHARASHTRA
186492,BURUNJWADI,SHIRUR,4523,Pune,MAHARASHTRA
186528,KONDHAPURI,SHIRUR,4523,Pune,MAHARASHTRA
186564,TALEGAON DHAMDHERE,SHIRUR,4523,Pune,MAHARASHTRA
186568,VITTHALWADI,SHIRUR,4523,Pune,MAHARASHTRA
