gp_code,gp_name,dist_to_coast_km,dist_to_water_km
186595,JADHAVWADI,55.09,34.47
186629,SHENVAD,56.48,34.04
186607,KOSHIMGHAR,57.7,32.24
185468,ASHIMPI,58.46,23.35
185588,SHIRGAON,59.54,21.69
,,59.71,21.18
185493,GUDHE GR.,66.06,14.47
185489,DURGADI,61.13,19.66
185589,SHIRVALI HIMA,63.2,17.47
185612,VARAVAND,62.27,20.11
185501,HIRDOSHI,64.14,19.25
185557,PARHAR BK.,67.83,13.6
185483,DAPAKEGHAR,69.41,12.81
185564,PARHAR KH.,66.42,15.73
185527,KONDHARI B.K.,66.64,17.2
185556,NIGUDGHAR,69.89,15.04
185573,RAYARI,71.46,13.12
185574,SALAV,70.79,12.97
185573,RAYARI,70.15,11.0
185528,KORLE,73.55,7.75
185607,VADTUMBI,75.47,7.51
185596,TITEGHAR,75.31,5.74
185538,MHAKOSHI,76.96,7.59
185481,CHIKHALGAON,77.47,4.93
185611,VARODI KH.,82.41,6.14
185463,AAMBADE,84.13,7.35
185560,PALE,82.05,8.12
185609,VARODI BK.,81.06,6.25
185610,VARODI DAYMUKH,81.52,5.88
185572,RAVDI,79.3,5.66
185517,KARNAVAD,79.59,7.45
185547,NAZRE,78.79,9.49
185487,DHAVADI,81.3,10.83
185559,PALSOSHI,81.72,9.61
185553,NERE,83.76,11.0
185500,HATNOSHI,81.78,13.29
185523,KHANAPUR,83.84,13.7
185475,BHABAVADI,82.53,15.32
185469,BAJARWADI,80.65,12.51
,,79.01,13.73
185551,NATAMBI,77.52,13.16
185549,NANDGAON,74.62,14.19
185579,SANGVI T. BHOR,75.46,11.8
185513,KARANJE,76.81,12.18
185561,PANVHAL,77.6,10.91
185465,AMBAVADE,76.46,9.39
185514,KARI,73.97,10.23
185477,BHAVEKHAL,72.6,13.13
185466,ANGASULE,73.98,11.99
185467,APTI,72.85,14.98
185533,MAHUDE BK.,72.58,17.7
185504,JAYATPAD,70.81,21.77
185534,MAHUDE KH.,73.07,19.17
,,74.87,18.86
185548,NAND,76.03,18.32
185586,SHIND,76.63,18.98
185567,PISAVARE,75.8,16.31
185613,VATHARHIMA,75.93,15.07
185464,AMBEGHAR,77.86,15.24
185590,SHIRVALI T. BHOR,78.54,16.31
185568,POMBARDI,79.24,17.5
185604,VENAVADI,79.89,16.73
,,81.6,16.91
185478,BHOLAVADE,81.63,19.47
185474,BASARAPUR,80.99,20.44
185471,BARE BK.,78.58,20.79
185472,BARE KH,79.71,20.42
299221,KIVAT,79.73,19.03
185490,GAWADI,77.65,19.38
185539,MHALAVADI,77.47,21.87
185505,JOGAWADI,77.96,24.94
185537,MAZGAON,79.56,24.35
185497,HARNAS,81.13,23.76
185473,BRAMHANGHAR V.K.,82.09,23.37
185499,HATVE KH.,81.4,27.55
185498,HATAVE BK.,82.47,26.78
185593,TAMBHAD,79.57,27.5
186631,SONDE HIROJI,77.89,28.53
186634,SONDE SARPHALA,76.8,28.19
185511,KARANDI BK.,73.8,27.3
185606,VADHANE,74.73,26.28
185491,GORADMHASAVALI,76.19,25.78
,,76.43,23.23
185566,PASURE,74.6,22.13
185570,RAJGHAR,72.59,24.82
185516,KARANDI KH.,71.97,27.76
186580,ASANI DAMGUDA,70.35,29.01
185506,KAMBARE KH.,69.92,27.36
185531,KURUNJI,68.01,27.11
186592,GUNJAVANE,67.25,30.14
,,64.45,30.14
185535,MALE,65.51,27.53
185603,VELVAND,70.45,24.35
185512,KARANJGAON,71.08,16.52
185540,MHASAR KH.,69.48,17.57
185541,MHASAR BK.,67.22,18.8
185485,DEHEN GR.,66.29,21.86
185563,PANGARI,67.56,23.12
185576,SALUNGAN,63.44,23.56
